Aggregator,Visits Count,Net Return Ideal,Net Return Real,Delta %
2286,349,2673572.93,2514956.97,6.306905535
2287,574,4985033.064,4536849.5,9.878739956
2584,127,3836004.079,3819116.85,0.442176291
2585,362,6375653.783,5985029.1,6.526696464
2586,568,14862072.89,13537870.92,9.781464037
2748,135,4161172.786,4005292.5,3.891857723
2749,252,2531744.079,2349161.15,7.772260695
2946,116,2926463.952,2682062.5,9.112444307
2947,105,969003.0341,886494.25,9.307311813
2948,61,982968.9482,919961,6.848980363
2950,64,1184923.44,1169298.5,1.336266183
2953,83,440575.904,419160,5.109243246
3775,20,40881.925,14730.5,177.5325006
3914,28,133809.8432,109396.25,22.31666365
3916,171,5884813.983,5358730,9.817325803
3917,189,1506249.75,1464966,2.818068805
4003,182,2163875.015,1969735.25,9.85613498
4004,167,1007847.367,905807.75,11.26504132
4005,116,1567500.996,1482386.5,5.741720918
4006,197,2705616.158,2840667.895,-4.754224779
4007,321,2909691.883,2723555.213,6.834327038
4008,156,2250222.004,2235637,0.652386951
4127,174,2242609.81,2188519.55,2.471545646
4128,170,3500255.171,3604375,-2.888706888
4129,109,1602762.015,1362164.5,17.66288247
4130,172,1273431.197,1103916.5,15.35575354
4162,152,3045723.712,3002115.1,1.452596259
4269,57,1211709.337,1241188,-2.375036115
4276,40,999385.6602,362105,175.9933335
4354,104,1162314.17,1150926.095,0.989470529
4424,124,2665265.488,1403540.5,89.89587317
4477,52,496844.9251,345683.835,43.72813387
4478,51,1434256.6,1562860.2,-8.228733449
4482,82,1279223.63,1140505,12.16291294
4484,63,419299.3181,400504.755,4.692719092
4488,56,405825.0303,370738.5,9.463956479
4489,191,2854221.165,2829712,0.866136363
4495,52,909953.5963,874840.5925,4.01364592
4496,49,180751.1585,109323.3,65.33635421
4503,31,455013.7989,327679.8,38.85927631
4504,19,143430.4409,149976.5,-4.364723185
4510,13,73487.99043,52810,39.15544485
4511,8,85672.46794,63605,34.69454907
4518,13,65536.53961,46044,42.33459215
4519,6,66950.085,18054,270.8324194
4520,9,59458.20016,57999,2.515905715
4527,2,15150.58893,16624.03,-8.86332056
4528,14,133027.5999,112205.75,18.55684745
4535,13,76121.93517,67622.5,12.5689455
4536,19,443617.7012,418219,6.073062485
